Date,Open,High,Low,Close,Volume,Adj Close
2016-11-16,10.75,10.75,10.75,10.75,000,10.682523
2016-11-15,10.73,10.73,10.73,10.73,000,10.662648
2016-11-14,10.72,10.72,10.72,10.72,000,10.652711
2016-11-11,10.76,10.76,10.76,10.76,000,10.69246
2016-11-10,10.78,10.78,10.78,10.78,000,10.712334
2016-11-09,10.82,10.82,10.82,10.82,000,10.752083
2016-11-08,10.93,10.93,10.93,10.93,000,10.861393
2016-11-07,10.95,10.95,10.95,10.95,000,10.881267
2016-11-04,10.98,10.98,10.98,10.98,000,10.911078
2016-11-03,10.96,10.96,10.96,10.96,000,10.891204
2016-11-02,10.97,10.97,10.97,10.97,000,10.901142
2016-11-01,10.96,10.96,10.96,10.96,000,10.891204
2016-10-31,10.96,10.96,10.96,10.96,000,10.891204
2016-10-28,10.95,10.95,10.95,10.95,000,10.860399
2016-10-27,10.95,10.95,10.95,10.95,000,10.860399
2016-10-26,10.98,10.98,10.98,10.98,000,10.890153
2016-10-25,11.00,11.00,11.00,11.00,000,10.90999
2016-10-24,11.00,11.00,11.00,11.00,000,10.90999
2016-10-21,11.01,11.01,11.01,11.01,000,10.919909
2016-10-20,11.01,11.01,11.01,11.01,000,10.919909
2016-10-19,11.01,11.01,11.01,11.01,000,10.919909
2016-10-18,11.00,11.00,11.00,11.00,000,10.90999
2016-10-17,10.99,10.99,10.99,10.99,000,10.900072
2016-10-14,10.97,10.97,10.97,10.97,000,10.880236
2016-10-13,11.00,11.00,11.00,11.00,000,10.90999
2016-10-12,10.99,10.99,10.99,10.99,000,10.900072
2016-10-11,10.98,10.98,10.98,10.98,000,10.890153
2016-10-10,10.98,10.98,10.98,10.98,000,10.890153
2016-10-07,11.01,11.01,11.01,11.01,000,10.919909
2016-10-06,11.00,11.00,11.00,11.00,000,10.90999
2016-10-05,11.02,11.02,11.02,11.02,000,10.929827
2016-10-04,11.03,11.03,11.03,11.03,000,10.939745
2016-10-03,11.06,11.06,11.06,11.06,000,10.9695
2016-09-30,11.07,11.07,11.07,11.07,000,10.979417
2016-09-29,11.10,11.10,11.10,11.10,000,10.988344
2016-09-28,11.09,11.09,11.09,11.09,000,10.978445
2016-09-27,11.09,11.09,11.09,11.09,000,10.978445
2016-09-26,11.08,11.08,11.08,11.08,000,10.968545
2016-09-23,11.06,11.06,11.06,11.06,000,10.948747
2016-09-22,11.06,11.06,11.06,11.06,000,10.948747
2016-09-21,11.04,11.04,11.04,11.04,000,10.928947
2016-09-20,11.02,11.02,11.02,11.02,000,10.909149
2016-09-19,11.01,11.01,11.01,11.01,000,10.899249
2016-09-16,11.02,11.02,11.02,11.02,000,10.909149
2016-09-15,11.01,11.01,11.01,11.01,000,10.899249
2016-09-14,11.01,11.01,11.01,11.01,000,10.899249
2016-09-13,11.00,11.00,11.00,11.00,000,10.88935
2016-09-12,11.03,11.03,11.03,11.03,000,10.919048
2016-09-09,11.03,11.03,11.03,11.03,000,10.919048
2016-09-08,11.08,11.08,11.08,11.08,000,10.968545
2016-09-07,11.12,11.12,11.12,11.12,000,11.008142
2016-09-06,11.12,11.12,11.12,11.12,000,11.008142
2016-09-02,11.08,11.08,11.08,11.08,000,10.968545
2016-09-01,11.10,11.10,11.10,11.10,000,10.988344
2016-08-31,11.10,11.10,11.10,11.10,000,10.988344
2016-08-30,11.10,11.10,11.10,11.10,000,10.967555
2016-08-29,11.11,11.11,11.11,11.11,000,10.977435
2016-08-26,11.07,11.07,11.07,11.07,000,10.937912
